股票代號,股票名稱,ISIN,上市日期,市場別,產業別,CFIcode,備註
6485,點序,TW0006485006,2015/11/17,上櫃,半導體業,ESVUFR,
6488,環球晶,TW0006488000,2015/09/25,上櫃,半導體業,ESVUFR,
6496,科懋,TW0006496003,2016/01/07,上櫃,生技醫療業,ESVUFR,
6506,雙邦,TW0006506009,2011/05/03,上櫃,化學工業,ESVUFR,
6508,惠光,TW0006508005,2004/03/22,上櫃,塑膠工業,ESVUFR,
6509,聚和,TW0006509003,2004/04/12,上櫃,化學工業,ESVUFR,
6514,F-芮特,KYG734231080,2015/12/02,上櫃,通信網路業,ESVUFR,
6603,富強鑫,TW0006603004,2004/04/05,上櫃,電機機械,ESVUFR,
6609,瀧澤科,TW0006609001,2003/09/23,上櫃,電機機械,ESVUFR,
6803,崑鼎,TW0006803000,2010/05/27,上櫃,其他業,ESVUFR,
7402,邑錡,TW0007402000,2015/12/29,上櫃,光電業,ESVUFR,
8024,佑華,TW0008024001,2006/09/25,上櫃,半導體業,ESVUFR,
8027,鈦昇,TW0008027004,2015/06/09,上櫃,電機機械,ESVUFR,
8032,光菱,TW0008032004,2003/10/02,上櫃,電子通路業,ESVUFR,
8034,榮群,TW0008034000,2004/05/06,上櫃,通信網路業,ESVUFR,
8038,長園科,TW0008038001,2013/11/21,上櫃,電子零組件業,ESVUFR,
8040,九暘,TW0008040007,2007/04/30,上櫃,半導體業,ESVUFR,
8042,金山電,TW0008042003,2004/03/22,上櫃,電子零組件業,ESVUFR,
8043,蜜望實,TW0008043001,2003/10/24,上櫃,電子零組件業,ESVUFR,
8044,網家,TW0008044009,2005/01/24,上櫃,資訊服務業,ESVUFR,
8047,星雲,TW0008047002,2004/02/09,上櫃,其他電子業,ESVUFR,
8048,德勝,TW0008048000,2009/09/08,上櫃,通信網路業,ESVUFR,
8049,晶采,TW0008049008,2004/02/02,上櫃,光電業,ESVUFR,
8050,廣積,TW0008050006,2003/10/24,上櫃,電腦及週邊設備業,ESVUFR,
8053,巨擘,TW0008053000,2005/01/20,上櫃,光電業,ESVUFR,
8054,安國,TW0008054008,2004/11/08,上櫃,半導體業,ESVUFR,
8059,凱碩,TW0008059007,2010/03/16,上櫃,通信網路業,ESVUFR,
8064,東捷,TW0008064007,2006/09/25,上櫃,光電業,ESVUFR,
8066,來思達,TW0008066002,2004/12/24,上櫃,貿易百貨業,ESVUFR,
8067,志旭,TW0008067000,2004/04/23,上櫃,電子通路業,ESVUFR,
8068,全達,TW0008068008,2004/03/25,上櫃,電子通路業,ESVUFR,
8069,元太,TW0008069006,2004/03/30,上櫃,光電業,ESVUFR,
8071,能率豐,TW0008071002,2003/12/29,上櫃,電子零組件業,ESVUFR,
8074,鉅橡,TW0008074006,2004/01/27,上櫃,電子零組件業,ESVUFR,
8076,伍豐,TW0008076001,2003/12/15,上櫃,電腦及週邊設備業,ESVUFR,
8077,洛碁,TW0008077009,2004/12/06,上櫃,光電業,ESVUFR,
8079,誠遠,TW0008079005,2004/01/15,上櫃,半導體業,ESVUFR,
8080,奧斯特,TW0008080003,2004/05/10,上櫃,電子零組件業,ESVUFR,
8082,漢承泰,TW0008082009,2003/12/30,上櫃,通信網路業,ESVUFR,
8083,瑞穎,TW0008083007,2004/09/23,上櫃,電機機械,ESVUFR,
8084,巨虹,TW0008084005,2004/03/08,上櫃,電子通路業,ESVUFR,
8085,福華,TW0008085002,2004/03/01,上櫃,其他電子業,ESVUFR,
8086,宏捷科,TW0008086000,2009/06/01,上櫃,半導體業,ESVUFR,
8087,華鎂鑫,TW0008087008,2004/02/25,上櫃,光電業,ESVUFR,
8088,品安,TW0008088006,2004/02/27,上櫃,半導體業,ESVUFR,
8091,翔名,TW0008091000,2004/06/24,上櫃,電子零組件業,ESVUFR,
8092,建暐,TW0008092008,2004/02/02,上櫃,其他電子業,ESVUFR,
8093,保銳,TW0008093006,2004/12/31,上櫃,電子零組件業,ESVUFR,
8096,擎亞,TW0008096009,2004/07/15,上櫃,電子通路業,ESVUFR,
8097,常珵,TW0008097007,2004/03/01,上櫃,通信網路業,ESVUFR,
8099,大世科,TW0008099003,2004/03/29,上櫃,資訊服務業,ESVUFR,
8107,大億科,TW0008107004,2005/11/15,上櫃,光電業,ESVUFR,
8109,博大,TW0008109000,2005/03/22,上櫃,電子零組件業,ESVUFR,
8111,立碁,TW0008111006,2004/02/09,上櫃,光電業,ESVUFR,
8121,越峰,TW0008121005,2005/02/17,上櫃,電子零組件業,ESVUFR,
8147,正淩,TW0008147000,2013/04/30,上櫃,電子零組件業,ESVUFR,
8155,博智,TW0008155003,2012/12/18,上櫃,電子零組件業,ESVUFR,
8171,天宇,TW0008171000,2011/12/19,上櫃,通信網路業,ESVUFR,
8176,智捷,TW0008176009,2013/06/25,上櫃,通信網路業,ESVUFR,
8182,加高,TW0008182007,2006/05/25,上櫃,電子零組件業,ESVUFR,
8183,精星,TW0008183005,2005/03/30,上櫃,其他電子業,ESVUFR,
8234,新漢,TW0008234006,2007/06/07,上櫃,電腦及週邊設備業,ESVUFR,
8240,華宏,TW0008240003,2005/06/23,上櫃,光電業,ESVUFR,
8255,朋程,TW0008255001,2006/04/25,上櫃,電機機械,ESVUFR,
8266,中日新,TW0008266008,2004/11/01,上櫃,光電業,ESVUFR,
8277,商丞,TW0008277005,2004/12/27,上櫃,半導體業,ESVUFR,
8287,英格爾,TW0008287004,2005/01/03,上櫃,電子零組件業,ESVUFR,
8289,泰藝,TW0008289000,2008/04/24,上櫃,電子零組件業,ESVUFR,
8291,尚茂,TW0008291006,2011/11/29,上櫃,電子零組件業,ESVUFR,
8299,群聯,TW0008299009,2004/12/06,上櫃,電腦及週邊設備業,ESVUFR,
8349,恒耀,TW0008349002,2006/03/10,上櫃,鋼鐵工業,ESVUFR,
8354,冠好,TW0008354002,2004/04/15,上櫃,塑膠工業,ESVUFR,
8358,金居,TW0008358003,2010/09/27,上櫃,電子零組件業,ESVUFR,
8383,千附,TW0008383001,2004/09/10,上櫃,其他電子業,ESVUFR,
8390,金益鼎,TW0008390006,2008/05/21,上櫃,其他業,ESVUFR,
8401,白紗科,TW0008401001,2010/03/29,上櫃,其他業,ESVUFR,
8403,盛弘,TW0008403007,2011/03/01,上櫃,生技醫療業,ESVUFR,
8406,F-金可,KYG390101064,2012/04/27,上櫃,生技醫療業,ESVUFR,
8409,商之器,TW0008409004,2013/11/25,上櫃,生技醫療業,ESVUFR,
8410,森田,TW0008410002,2011/02/23,上櫃,電腦及週邊設備業,ESVUFR,
8416,實威,TW0008416009,2012/09/19,上櫃,資訊服務業,ESVUFR,
8418,F-必勝,KYG520981039,2011/12/06,上櫃,其他業,ESVUFR,
8420,明揚,TW0008420001,2014/11/10,上櫃,其他業,ESVUFR,
8421,旭源,TW0008421009,2012/11/23,上櫃,其他業,ESVUFR,
8423,F-保綠,KYG715991074,2012/03/14,上櫃,其他業,ESVUFR,
8424,惠普,TW0008424003,2012/12/18,上櫃,建材營造業,ESVUFR,
8426,F-紅木,KYG7457N1051,2011/12/13,上櫃,其他業,ESVUFR,
8431,匯鑽科,TW0008431008,2015/03/30,上櫃,其他電子業,ESVUFR,
8432,東生華,TW0008432006,2012/04/30,上櫃,生技醫療業,ESVUFR,
8433,弘帆,TW0008433004,2012/12/19,上櫃,貿易百貨業,ESVUFR,
8435,鉅邁,TW0008435009,2012/12/28,上櫃,其他業,ESVUFR,
8436,大江,TW0008436007,2013/09/12,上櫃,生技醫療業,ESVUFR,
8437,F-大地,KYG2615N1051,2015/05/06,上櫃,其他業,ESVUFR,
8444,F-綠河,KYG409691006,2015/10/27,上櫃,其他業,ESVUFR,
8446,華研,TW0008446006,2013/12/19,上櫃,其他業,ESVUFR,
8450,霹靂,TW0008450008,2014/10/07,上櫃,文化創意業,ESVUFR,
8455,F-大拓,KYG264101034,2016/01/08,上櫃,其他電子業,ESVUFR,
8472,夠麻吉,TW0008472002,2016/01/11,上櫃,資訊服務業,ESVUFR,
8905,裕國,TW0008905001,1996/01/31,上櫃,其他業,ESVUFR,
8906,花王,TW0008906009,1996/04/23,上櫃,其他業,ESVUFR,
8908,欣雄,TW0008908005,1997/02/14,上櫃,油電燃氣業,ESVUFR,
8913,全銓,TW0008913005,1998/06/10,上櫃,其他業,ESVUFR,
8916,光隆,TW0008916008,1999/04/20,上櫃,其他業,ESVUFR,
8917,欣泰,TW0008917006,1999/05/06,上櫃,油電燃氣業,ESVUFR,
8921,沈氏,TW0008921008,2000/03/21,上櫃,其他業,ESVUFR,
8923,時報,TW0008923004,1999/12/27,上櫃,其他業,ESVUFR,
8924,大田,TW0008924002,2000/02/09,上櫃,其他業,ESVUFR,
8925,偉盟,TW0008925009,2000/03/10,上櫃,其他業,ESVUFR,
8927,北基,TW0008927005,2000/11/02,上櫃,油電燃氣業,ESVUFR,
8928,鉅明,TW0008928003,2001/02/02,上櫃,其他業,ESVUFR,
8929,富堡,TW0008929001,2000/11/30,上櫃,其他業,ESVUFR,
8930,青鋼,TW0008930009,2000/12/06,上櫃,鋼鐵工業,ESVUFR,
8931,大汽電,TW0008931007,2001/05/10,上櫃,油電燃氣業,ESVUFR,
8932,宏大,TW0008932005,2001/03/29,上櫃,其他業,ESVUFR,
8933,愛地雅,TW0008933003,2001/03/28,上櫃,其他業,ESVUFR,
8934,衡平,TW0008934001,2001/09/03,上櫃,其他業,ESVUFR,
8935,邦泰,TW0008935008,2002/03/26,上櫃,其他業,ESVUFR,
8936,國統,TW0008936006,2002/09/09,上櫃,其他業,ESVUFR,
8937,合騏,TW0008937004,2002/10/29,上櫃,其他業,ESVUFR,
8938,明安,TW0008938002,2002/12/02,上櫃,其他業,ESVUFR,
8941,關中,TW0008941006,2003/01/20,上櫃,貿易百貨業,ESVUFR,
8942,森鉅,TW0008942004,2003/05/16,上櫃,其他業,ESVUFR,
9949,琉園,TW0009949008,2003/11/21,上櫃,其他業,ESVUFR,
9950,萬國通,TW0009950006,2004/02/17,上櫃,塑膠工業,ESVUFR,
9951,皇田,TW0009951004,2003/12/18,上櫃,電機機械,ESVUFR,
9960,邁達康,TW0009960005,2004/12/06,上櫃,貿易百貨業,ESVUFR,
9962,有益,TW0009962001,2006/07/10,上櫃,鋼鐵工業,ESVUFR,
